Jahr,Anzahl_Lehrer,Anzahl_Schueler,Schueler_pro_Lehrer,Inklusionsschueler,PISA_Mathematik,PISA_Lesekompetenz,PISA_Naturwissenschaften
2009,,,,95475.0,513.0,497.0,520.0
2010,763988.0,8796894.0,11.51,108642.0,,,
2011,760491.0,8678196.0,11.41,121999.0,,,
2012,759136.0,8556879.0,11.27,139605.0,514.0,508.0,524.0
2013,752830.0,8420111.0,11.18,157201.0,,,
2014,752358.0,8366666.0,11.12,173392.0,,,
2015,754726.0,8335061.0,11.04,194866.0,506.0,509.0,509.0
2016,759051.0,8369513.0,11.03,205811.0,,,
2017,763266.0,8346707.0,10.94,222485.0,,,
2018,773280.0,8330457.0,10.77,235325.0,500.0,498.0,503.0
2019,782610.0,8326884.0,10.64,246303.0,,,
2020,790605.0,8380767.0,10.6,254465.0,,,
2021,799314.0,8436221.0,10.55,257966.0,,,
2022,820353.0,8693344.0,10.6,258033.0,475.0,480.0,492.0
2023,837247.0,8819489.0,10.53,263734.0,,,
2024,851193.0,8914150.0,10.47,,,,
